地址,行政区,街道,总户数,lng,lat
延吉东路82弄,杨浦,黄兴公园,1139,121.5468752186969,31.299427439288777
铁岭路50弄,杨浦,鞍山,1139,121.52170038644087,31.285386875195826
梅川四街坊,普陀,长征,1134,121.39688558860219,31.251703610846153
地杰国际城三期,浦东,御桥,1129,121.5812060002732,31.166768815974216
永康城浦晨雅苑,闵行,浦江镇,1128,121.51264494169699,31.034704950914794
盛源家豪城,静安,大宁,1127,121.4619154598353,31.270971274191673
茸南苑,松江,松江老城,1127,121.25591918435646,31.006542927246564
延吉三村,杨浦,黄兴公园,1126,121.54294162869925,31.292363024472397
滨江公园壹号,嘉定,宝山,1123,121.38750055003314,31.331571534795874
黄兴绿园,杨浦,黄兴公园,1123,121.54429896832482,31.306182863778865
中原路99弄,杨浦,中原,1122,121.53725903787368,31.31834090156936
博三小区,浦东,金桥,1116,121.58940908628885,31.27201836204534
曹杨花苑,普陀,真如,1114,121.40896223646368,31.263110332986436
御上海青橙,松江,松江大学城,1114,121.24097398575638,31.057300834248334
绿地天呈,嘉定,嘉定新城,1100,121.24663196301098,31.40409785599697
正荣璟园,金山,枫泾,1100,121.02552717699037,30.903882100955013
书香名第黎金苑,普陀,长风,1100,121.41409838804752,31.228971452056488
樱花苑,普陀,真如,1097,121.39957997439527,31.254448881377566
新城昱翠湾,宝山,月浦,1096,121.41883542249329,31.435399825937438
六荷苑,浦东,金桥,1094,121.59551415019575,31.27550453215429
梅林小区,杨浦,中原,1090,121.54725996294682,31.314640840570963
绿洲雅宾利花园一期,静安,西藏北路,1090,121.47845928292091,31.26152226092611
祥和星宇花园(二期),普陀,桃浦,1088,121.40068992068338,31.286903564299394
嘉宝梦之湾,嘉定,嘉定城区,1088,121.23265046656203,31.387497243684184
金华新村(青浦),青浦,朱家角,1088,121.05304523916917,31.10958861294073
绿中海明苑(公寓),青浦,徐泾,1085,121.26987588757332,31.180735410611874
阳光威尼斯C区,普陀,真光,1081,121.37382492661034,31.268569718053826
寿一小区,浦东,金桥,1080,121.58957799109862,31.279647069122593
茸联苑,松江,松江老城,1076,121.26460229524645,31.011989160789668
美罗家园宝欣苑五村,宝山,罗店,1072,121.3443234058655,31.390352725869338
月浦三村,宝山,月浦,1071,121.43554210836787,31.424341585252236
海上硕和城,杨浦,黄兴公园,1069,121.53521575216068,31.306542304252492
文化佳园,杨浦,黄兴公园,1068,121.53161588266,31.29566854012086
翔顺公寓,杨浦,黄兴公园,1068,121.54690540176203,31.311341396075832
嘉秀坊,嘉定,丰庄,1068,121.3758477309577,31.260692986273217
金硕河畔景园(浦连路388弄),闵行,浦江镇,1065,121.54273699470409,31.061015863345588
通阁小区,静安,西藏北路,1064,121.47737197393164,31.26726084666834
广杭苑,杨浦,东外滩,1064,121.54256559801279,31.263954788322973
绿洲紫荆花园,虹口,四平路,1061,121.49596330476614,31.274230016846264
东安四村,徐汇,大木桥,1059,121.45823932419682,31.193080365113772
公交新村,杨浦,鞍山,1058,121.51253237023658,31.28275006577048
叶城五街坊,嘉定,嘉定城区,1057,121.24128030793528,31.372640740460405
浦三小区(金桥),浦东,金桥,1056,121.59697731021042,31.27188533546996
香阁丽苑,杨浦,黄兴公园,1055,121.53208524728898,31.304816823079772
万科时一区一期,闵行,华漕,1050,121.31819295620795,31.207981840749582
阳光威尼斯一期,普陀,桃浦,1050,121.37865394754033,31.267663649507746
